transcription_factor	target	Weight
ALX3	APOD	1
ALX3	C7orf50	1
ALX3	CALN1	1
ALX3	CBX5	1
ALX3	CERKL	1
ALX3	CHGB	1
ALX3	DLG2	1
ALX3	NEUROD1	1
ALX3	PDE4B	1
ALX3	SFMBT2	1
ALX3	SLITRK1	1
ALX3	USP54	1
ARID5A	RHBDL2	1
ATF4	ANKRD11	1
ATF4	BTG1	1
ATF4	C1orf74	1
ATF4	CHGB	1
ATF4	CLSTN1	1
ATF4	CXCL16	1
ATF4	DAAM2	1
ATF4	DHX36	1
ATF4	HMGCR	1
ATF4	KLF15	1
ATF4	MRO	1
ATF4	NRXN1	1
ATF4	PEX11G	1
ATF4	TSC22D3	1
BBX	ACSBG1	1
BBX	DLG2	1
BCL6B	DIDO1	1
BCL6B	LIFR	1
BCL6B	NRXN1	1
BCL6B	PVALB	1
CCDC6	DIXDC1	1
CCDC6	DLG2	1
CCDC6	PDE4B	1
CEBPD	ADORA3	1
CEBPD	B3GALT2	1
CPEB1	AMPH	1
CPEB1	ANKRD37	1
CPEB1	ASCL1	1
CPEB1	ATP10B	1
CPEB1	C1orf122	1
CPEB1	CERKL	1
CPEB1	COL4A5	1
CPEB1	DLG2	1
CPEB1	FILIP1	1
CPEB1	FRYL	1
CPEB1	HIST1H4C	1
CPEB1	LY86	1
CPEB1	MARCKS	1
CPEB1	NEUROD1	1
CPEB1	NRXN1	1
CPEB1	PCDH9	1
CPEB1	PEX7	1
CPEB1	PLEK	1
CPEB1	PVALB	1
CPEB1	RASL11A	1
CPEB1	RNASE3	1
CPEB1	TNFSF13	1
CPEB1	ZNF521	1
CREB3L2	CCDC6	1
CREB3L2	CPEB1	1
CREB3L2	GAD2	1
CREB3L2	NEU4	1
CREB3L2	POU3F2	1
CREB3L2	SPRYD3	1
ELF1	ACSL5	1
ELF1	ADCY2	1
ELF1	AK3	1
ELF1	APBB1IP	1
ELF1	AQR	1
ELF1	ARFIP1	1
ELF1	ATP5A1	1
ELF1	C1orf63	1
ELF1	C1QA	1
ELF1	C6orf211	1
ELF1	CCDC6	1
ELF1	CD37	1
ELF1	CENPQ	1
ELF1	CSF1R	1
ELF1	CTDSP2	1
ELF1	DHX36	1
ELF1	GNG2	1
ELF1	IMPACT	1
ELF1	KCTD4	1
ELF1	KIAA0319	1
ELF1	LCMT2	1
ELF1	LIPA	1
ELF1	MARCKS	1
ELF1	MBD6	1
ELF1	MICAL2	1
ELF1	MMD	1
ELF1	NR4A1	1
ELF1	PMP2	1
ELF1	SLC35A3	1
ELF1	TBC1D2	1
ELF1	TNFSF13	1
ELF1	USP54	1
ELF1	WAS	1
ESRRG	ABHD3	1
ESRRG	ADCY2	1
ESRRG	ARID5B	1
ESRRG	ATP6V1A	1
ESRRG	BATF2	1
ESRRG	C1orf198	1
ESRRG	C3orf18	1
ESRRG	C7orf50	1
ESRRG	CA2	1
ESRRG	CALN1	1
ESRRG	CD34	1
ESRRG	CDK5RAP2	1
ESRRG	LGI2	1
ESRRG	NKX2-2	1
ESRRG	NOTUM	1
ESRRG	NUDT3	1
ESRRG	PDXK	1
ESRRG	STAG2	1
ESRRG	USP54	1
FOXC1	ADCY2	1
FOXC1	ADORA3	1
FOXC1	AHI1	1
FOXC1	AMPH	1
FOXC1	APOD	1
FOXC1	APOLD1	1
FOXC1	BTG1	1
FOXC1	CAB39L	1
FOXC1	CADM2	1
FOXC1	CERKL	1
FOXC1	CHGB	1
FOXC1	DIXDC1	1
FOXC1	FRMPD2	1
FOXC1	GRIK1	1
FOXC1	IL1RL1	1
FOXC1	KLKB1	1
FOXC1	LMX1A	1
FOXC1	MARCKS	1
FOXC1	MYO5C	1
FOXC1	NEUROD1	1
FOXC1	NKX2-2	1
FOXC1	PCDH9	1
FOXC1	PDE1A	1
FOXC1	PDE1B	1
FOXC1	PVALB	1
FOXC1	RHBDL2	1
FOXC1	SCG2	1
FOXC1	TSPYL1	1
FOXF1	GRIA2	1
FOXO1	BTG1	1
FOXO1	CALN1	1
FOXO1	CHGB	1
FOXO1	DIXDC1	1
FOXO1	EML2	1
FOXO1	ESRRG	1
FOXO1	FRMPD2	1
FOXO1	GRIA2	1
FOXO1	RHBDL2	1
FOXO1	STAG2	1
