transcription_factor target
ALX3 CERKL
ALX3 DLG2
ALX3 PDE4B
ALX3 SFMBT2
ALX3 USP54
ATF4 C1orf74
ATF4 CHGB
ATF4 CXCL16
ATF4 PEX11G
BCL6B DIDO1
BCL6B LIFR
CCDC6 DIXDC1
CCDC6 DLG2
CEBPD B3GALT2
CPEB1 AMPH
CPEB1 ANKRD37
CPEB1 ASCL1
CPEB1 C1orf122
CPEB1 CERKL
CPEB1 COL4A5
CPEB1 FRYL
CPEB1 LY86
CPEB1 RNASE3
CREB3L2 GAD2
CREB3L2 NEU4
ELF1 KCTD4
ELF1 LCMT2
ELF1 LIPA
ELF1 MMD
ELF1 NR4A1
ELF1 PMP2
ELF1 SLC35A3
ELF1 TNFSF13
ESRRG ABHD3
ESRRG C1orf198
ESRRG CA2
ESRRG NKX2-2
ESRRG NOTUM
ESRRG NUDT3
ESRRG PDXK
ESRRG STAG2
FOXC1 CERKL
FOXC1 FRMPD2
FOXC1 GRIK1
FOXC1 KLKB1
FOXC1 PDE1B
FOXC1 PVALB
FOXC1 RHBDL2
FOXC1 SCG2
FOXC1 TSPYL1
FOXO1 DIXDC1
GATA6 PDE1A
LMX1A C3AR1
LMX1A CACNB4
LMX1A CERKL
LMX1A GRIA2
LMX1A LHFPL2
MAFB ADCY2
MAFB C14orf37
MAFB EIF4E3
MAFB GNA13
MAFB VIT
MEF2A ABCD2
MEF2A ACSBG1
MEF2A ANKDD1A
MEF2A CERKL
MEF2A CTTNBP2
MEF2A FILIP1
MEF2A LIPA
MYC ARL3
MYC CBLN1
MYC INSM1
MYC NOTUM
MYC SLC12A5
NR2F2 ESRRG
NR2F2 FGD4
NR2F2 GAB2
PKNOX2 ACSL6
PKNOX2 ART3
PKNOX2 BACE1
PKNOX2 BEGAIN
PKNOX2 NKX2-2
POU3F2 ATP10B
POU3F2 BAG3
POU3F2 BBX
POU3F2 BTG1
POU3F2 CD37
POU3F2 CERKL
POU3F2 CTDSP2
POU3F2 MARCKS
POU3F2 NEUROD1
POU3F2 TRAF3IP2
USF1 BNIP3L
USF1 CPEB1
USF1 H1F0
USF1 SLC31A2
XBP1 MOAP1
XBP1 TMEM59L
ZIC3 ARL5B
ZIC3 CERCAM
ZIC3 IGFBPL1
ZIC3 PPARGC1B
ZIC3 ZNF521
ALX3 HIST1H4C
ALX3 ZIC3
APOD IL1RL1
APOD KLKB1
CALN1 GIT1
PDE4B CEBPD
RHBDL2 CD34
ANKRD11 MICAL2
ANKRD11 GABRA2
CLSTN1 C1QA
CLSTN1 TBC1D2
CXCL16 LPHN2
DAAM2 HAMP
HMGCR NRXN1
HMGCR GRIA2
KLF15 MMD
KLF15 GNG13
MRO ALDH6A1
MRO HECA
NRXN1 ATP6V1A
NRXN1 WNT3
TSC22D3 JAKMIP2
TSC22D3 GRIA3
CEBPD GAD2
CEBPD MBD6
CEBPD FOXO1
CEBPD ITGB2
ADORA3 PCDH9
ADORA3 CROCC
CPEB1 TJAP1
ANKRD37 PLEK
ATP10B FRYL
ATP10B DCN
PLEK CREB3L2
RASL11A FGF12
POU3F2 ARFIP1
POU3F2 CRHBP
ELF1 SAMD4A
APBB1IP HLX
ATP5A1 FOXO1
C1QA CDADC1
CD37 MYO5C
CD37 CACNA1G
GNG2 BNIP3L
KCTD4 MAFB
KCTD4 ATP6V0B
KCTD4 C9orf156
KIAA0319 MBD6
KIAA0319 C3AR1
LCMT2 CACNB3
LCMT2 SLC15A2
MMD name
NR4A1 CAB39L
SLC35A3 BATF2
SLC35A3 LMX1A
SLC35A3 XBP1
TBC1D2 FOXC1
WAS EML2
ESRRG BEGAIN
C1orf198 PDXK
CD34 GATM
CD34 LPL
CDK5RAP2 FLT3
LGI2 ACACB
STAG2 ARL 3.00
APOLD1 GAP43
LMX1A LGI4
MYO5C VIT
PDE1B ARF6
GATA6 SH2D2A
GATA6 NR2F2
ACSL6 SIX4
ACSL6 TFB2M
GAP43 C1QL3
LPHN2 MEF2A
CACNA1G AQP9
CACNA1G MOAP1
CROCC H1F0
GIT1 C10orf90
GIT1 BLNK
GNG13 CFB
LGI4 RABEP1
SIX4 ACVRL1
JAKMIP2 ART3
C14orf37 ALDH1A1
EIF4E3 ANKRD40
EIF4E3 NNAT
SH2D2A ATP6V1H
MEF2A USF1
GABRA2 GPR85
LPL GABARAPL1
SIX4 transcription_factor
KIAA0319 ALX3
ZIC3 APOD
GAP43 C7orf50
ZIC3 CALN1
CACNA1G CBX5
GAD2 SFMBT2
BAG3 SLITRK1
NR2F2 ARID5A
PVALB ATF4
MRO ANKRD11
GABARAPL1 C1orf74
KCTD4 CLSTN1
PCDH9 DAAM2
MYC DHX36
HLX HMGCR
PDE1A KLF15
C6orf211 MRO
ANKRD37 TSC22D3
PDE1A BCL6B
NEU4 DIDO1
GAD2 LIFR
HECW1 CCDC6
PDE1B ADORA3
CROCC B3GALT2
SLC15A2 C1orf122
TRAF3IP2 COL4A5
IGFBPL1 HIST1H4C
ACVRL1 LY86
GRIK1 PEX7
PMP2 RASL11A
ABCD2 TNFSF13
ELF1 NEU4
SLC12A5 POU3F2
MICAL2 SPRYD3
IMPACT ELF1
PDE1A ACSL5
NUDT3 ADCY2
GRIK1 AK3
SIX4 APBB1IP
FLT3 AQR
GABRA2 ATP5A1
KCTD4 C1orf63
GAP43 C6orf211
ZIC3 CENPQ
SAMD4A CSF1R
IGFBPL1 GNG2
ABCD2 IMPACT
GAB2 KIAA0319
LMX1A WAS
SPINT2 ABHD3
CACNB4 ARID5B
CACNA1G C3orf18
C10orf90 CA2
STAG2 CDK5RAP2
SEPT4 LGI2
C14orf37 AHI1
PDE1B APOLD1
ITGB2 CADM2
CTTNBP2 CADM2
SLC15A2 FRMPD2
FGF12 IL1RL1
PPARGC1B FOXF1
ITGB2 GATA6
LGI4 SEPT4
SH2D2A C19orf25
SAMD4A CLEC14A
SAMD4A CBLN2
TFB2M CRTAM
FGF12 ENPEP
FGF12 ATP1A2
C9orf156 MAP4
ACACB MYC
GRIA3 PKNOX2
ARL 3.00 HECW1
CERCAM SPINT2
